mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,name,mean_imputed_mpg,mean_imputed_cylinders,mean_imputed_displacement,mean_imputed_weight,mean_imputed_acceleration,mean_imputed_model_year,mean_imputed_origin,median_imputed_mpg,median_imputed_cylinders,median_imputed_displacement,median_imputed_weight,median_imputed_acceleration,median_imputed_model_year,median_imputed_origin,constant_imputed_mpg,constant_imputed_cylinders,constant_imputed_displacement,constant_imputed_weight,constant_imputed_acceleration,constant_imputed_model_year,constant_imputed_origin,most_frequent_imputed_horsepower,most_frequent_imputed_name,constant_imputed_horsepower,constant_imputed_name,custom_value_imputed_horsepower,custom_value_imputed_name
18.0,8,307.0,130,3504,12.0,70,1,chevrolet chevelle malibu,18.0,8.0,307.0,3504.0,12.0,70.0,1.0,18.0,8.0,307.0,3504.0,12.0,70.0,1.0,18.0,8.0,307.0,3504.0,12.0,70.0,1.0,130,chevrolet chevelle malibu,130,chevrolet chevelle malibu,130,chevrolet chevelle malibu
15.0,8,350.0,165,3693,11.5,70,1,buick skylark 320,15.0,8.0,350.0,3693.0,11.5,70.0,1.0,15.0,8.0,350.0,3693.0,11.5,70.0,1.0,15.0,8.0,350.0,3693.0,11.5,70.0,1.0,165,buick skylark 320,165,buick skylark 320,165,buick skylark 320
18.0,8,318.0,150,3436,11.0,70,1,plymouth satellite,18.0,8.0,318.0,3436.0,11.0,70.0,1.0,18.0,8.0,318.0,3436.0,11.0,70.0,1.0,18.0,8.0,318.0,3436.0,11.0,70.0,1.0,150,plymouth satellite,150,plymouth satellite,150,plymouth satellite
16.0,8,304.0,150,3433,12.0,70,1,amc rebel sst,16.0,8.0,304.0,3433.0,12.0,70.0,1.0,16.0,8.0,304.0,3433.0,12.0,70.0,1.0,16.0,8.0,304.0,3433.0,12.0,70.0,1.0,150,amc rebel sst,150,amc rebel sst,150,amc rebel sst
17.0,8,302.0,140,3449,10.5,70,1,ford torino,17.0,8.0,302.0,3449.0,10.5,70.0,1.0,17.0,8.0,302.0,3449.0,10.5,70.0,1.0,17.0,8.0,302.0,3449.0,10.5,70.0,1.0,140,ford torino,140,ford torino,140,ford torino
15.0,8,429.0,198,4341,10.0,70,1,ford galaxie 500,15.0,8.0,429.0,4341.0,10.0,70.0,1.0,15.0,8.0,429.0,4341.0,10.0,70.0,1.0,15.0,8.0,429.0,4341.0,10.0,70.0,1.0,198,ford galaxie 500,198,ford galaxie 500,198,ford galaxie 500
14.0,8,454.0,220,4354,9.0,70,1,chevrolet impala,14.0,8.0,454.0,4354.0,9.0,70.0,1.0,14.0,8.0,454.0,4354.0,9.0,70.0,1.0,14.0,8.0,454.0,4354.0,9.0,70.0,1.0,220,chevrolet impala,220,chevrolet impala,220,chevrolet impala
14.0,8,440.0,215,4312,8.5,70,1,plymouth fury iii,14.0,8.0,440.0,4312.0,8.5,70.0,1.0,14.0,8.0,440.0,4312.0,8.5,70.0,1.0,14.0,8.0,440.0,4312.0,8.5,70.0,1.0,215,plymouth fury iii,215,plymouth fury iii,215,plymouth fury iii
14.0,8,455.0,225,4425,10.0,70,1,pontiac catalina,14.0,8.0,455.0,4425.0,10.0,70.0,1.0,14.0,8.0,455.0,4425.0,10.0,70.0,1.0,14.0,8.0,455.0,4425.0,10.0,70.0,1.0,225,pontiac catalina,225,pontiac catalina,225,pontiac catalina
15.0,8,390.0,190,3850,8.5,70,1,amc ambassador dpl,15.0,8.0,390.0,3850.0,8.5,70.0,1.0,15.0,8.0,390.0,3850.0,8.5,70.0,1.0,15.0,8.0,390.0,3850.0,8.5,70.0,1.0,190,amc ambassador dpl,190,amc ambassador dpl,190,amc ambassador dpl
15.0,8,383.0,170,3563,10.0,70,1,dodge challenger se,15.0,8.0,383.0,3563.0,10.0,70.0,1.0,15.0,8.0,383.0,3563.0,10.0,70.0,1.0,15.0,8.0,383.0,3563.0,10.0,70.0,1.0,170,dodge challenger se,170,dodge challenger se,170,dodge challenger se
14.0,8,340.0,160,3609,8.0,70,1,plymouth 'cuda 340,14.0,8.0,340.0,3609.0,8.0,70.0,1.0,14.0,8.0,340.0,3609.0,8.0,70.0,1.0,14.0,8.0,340.0,3609.0,8.0,70.0,1.0,160,plymouth 'cuda 340,160,plymouth 'cuda 340,160,plymouth 'cuda 340
15.0,8,400.0,150,3761,9.5,70,1,chevrolet monte carlo,15.0,8.0,400.0,3761.0,9.5,70.0,1.0,15.0,8.0,400.0,3761.0,9.5,70.0,1.0,15.0,8.0,400.0,3761.0,9.5,70.0,1.0,150,chevrolet monte carlo,150,chevrolet monte carlo,150,chevrolet monte carlo
14.0,8,455.0,225,3086,10.0,70,1,buick estate wagon (sw),14.0,8.0,455.0,3086.0,10.0,70.0,1.0,14.0,8.0,455.0,3086.0,10.0,70.0,1.0,14.0,8.0,455.0,3086.0,10.0,70.0,1.0,225,buick estate wagon (sw),225,buick estate wagon (sw),225,buick estate wagon (sw)
24.0,4,113.0,95,2372,15.0,70,3,toyota corona mark ii,24.0,4.0,113.0,2372.0,15.0,70.0,3.0,24.0,4.0,113.0,2372.0,15.0,70.0,3.0,24.0,4.0,113.0,2372.0,15.0,70.0,3.0,95,toyota corona mark ii,95,toyota corona mark ii,95,toyota corona mark ii
22.0,6,198.0,95,2833,15.5,70,1,plymouth duster,22.0,6.0,198.0,2833.0,15.5,70.0,1.0,22.0,6.0,198.0,2833.0,15.5,70.0,1.0,22.0,6.0,198.0,2833.0,15.5,70.0,1.0,95,plymouth duster,95,plymouth duster,95,plymouth duster
18.0,6,199.0,97,2774,15.5,70,1,amc hornet,18.0,6.0,199.0,2774.0,15.5,70.0,1.0,18.0,6.0,199.0,2774.0,15.5,70.0,1.0,18.0,6.0,199.0,2774.0,15.5,70.0,1.0,97,amc hornet,97,amc hornet,97,amc hornet
21.0,6,200.0,85,2587,16.0,70,1,ford maverick,21.0,6.0,200.0,2587.0,16.0,70.0,1.0,21.0,6.0,200.0,2587.0,16.0,70.0,1.0,21.0,6.0,200.0,2587.0,16.0,70.0,1.0,85,ford maverick,85,ford maverick,85,ford maverick
27.0,4,97.0,88,2130,14.5,70,3,datsun pl510,27.0,4.0,97.0,2130.0,14.5,70.0,3.0,27.0,4.0,97.0,2130.0,14.5,70.0,3.0,27.0,4.0,97.0,2130.0,14.5,70.0,3.0,88,datsun pl510,88,datsun pl510,88,datsun pl510
26.0,4,97.0,46,1835,20.5,70,2,volkswagen 1131 deluxe sedan,26.0,4.0,97.0,1835.0,20.5,70.0,2.0,26.0,4.0,97.0,1835.0,20.5,70.0,2.0,26.0,4.0,97.0,1835.0,20.5,70.0,2.0,46,volkswagen 1131 deluxe sedan,46,volkswagen 1131 deluxe sedan,46,volkswagen 1131 deluxe sedan
25.0,4,110.0,87,2672,17.5,70,2,peugeot 504,25.0,4.0,110.0,2672.0,17.5,70.0,2.0,25.0,4.0,110.0,2672.0,17.5,70.0,2.0,25.0,4.0,110.0,2672.0,17.5,70.0,2.0,87,peugeot 504,87,peugeot 504,87,peugeot 504
24.0,4,107.0,90,2430,14.5,70,2,audi 100 ls,24.0,4.0,107.0,2430.0,14.5,70.0,2.0,24.0,4.0,107.0,2430.0,14.5,70.0,2.0,24.0,4.0,107.0,2430.0,14.5,70.0,2.0,90,audi 100 ls,90,audi 100 ls,90,audi 100 ls
25.0,4,104.0,95,2375,17.5,70,2,saab 99e,25.0,4.0,104.0,2375.0,17.5,70.0,2.0,25.0,4.0,104.0,2375.0,17.5,70.0,2.0,25.0,4.0,104.0,2375.0,17.5,70.0,2.0,95,saab 99e,95,saab 99e,95,saab 99e
26.0,4,121.0,113,2234,12.5,70,2,bmw 2002,26.0,4.0,121.0,2234.0,12.5,70.0,2.0,26.0,4.0,121.0,2234.0,12.5,70.0,2.0,26.0,4.0,121.0,2234.0,12.5,70.0,2.0,113,bmw 2002,113,bmw 2002,113,bmw 2002
21.0,6,199.0,90,2648,15.0,70,1,amc gremlin,21.0,6.0,199.0,2648.0,15.0,70.0,1.0,21.0,6.0,199.0,2648.0,15.0,70.0,1.0,21.0,6.0,199.0,2648.0,15.0,70.0,1.0,90,amc gremlin,90,amc gremlin,90,amc gremlin
10.0,8,360.0,215,4615,14.0,70,1,ford f250,10.0,8.0,360.0,4615.0,14.0,70.0,1.0,10.0,8.0,360.0,4615.0,14.0,70.0,1.0,10.0,8.0,360.0,4615.0,14.0,70.0,1.0,215,ford f250,215,ford f250,215,ford f250
10.0,8,307.0,200,4376,15.0,70,1,chevy c20,10.0,8.0,307.0,4376.0,15.0,70.0,1.0,10.0,8.0,307.0,4376.0,15.0,70.0,1.0,10.0,8.0,307.0,4376.0,15.0,70.0,1.0,200,chevy c20,200,chevy c20,200,chevy c20
11.0,8,318.0,210,4382,13.5,70,1,dodge d200,11.0,8.0,318.0,4382.0,13.5,70.0,1.0,11.0,8.0,318.0,4382.0,13.5,70.0,1.0,11.0,8.0,318.0,4382.0,13.5,70.0,1.0,210,dodge d200,210,dodge d200,210,dodge d200
9.0,8,304.0,193,4732,18.5,70,1,hi 1200d,9.0,8.0,304.0,4732.0,18.5,70.0,1.0,9.0,8.0,304.0,4732.0,18.5,70.0,1.0,9.0,8.0,304.0,4732.0,18.5,70.0,1.0,193,hi 1200d,193,hi 1200d,193,hi 1200d
27.0,4,97.0,88,2130,14.5,71,3,datsun pl510,27.0,4.0,97.0,2130.0,14.5,71.0,3.0,27.0,4.0,97.0,2130.0,14.5,71.0,3.0,27.0,4.0,97.0,2130.0,14.5,71.0,3.0,88,datsun pl510,88,datsun pl510,88,datsun pl510
28.0,4,140.0,90,2264,15.5,71,1,chevrolet vega 2300,28.0,4.0,140.0,2264.0,15.5,71.0,1.0,28.0,4.0,140.0,2264.0,15.5,71.0,1.0,28.0,4.0,140.0,2264.0,15.5,71.0,1.0,90,chevrolet vega 2300,90,chevrolet vega 2300,90,chevrolet vega 2300
25.0,4,113.0,95,2228,14.0,71,3,toyota corona,25.0,4.0,113.0,2228.0,14.0,71.0,3.0,25.0,4.0,113.0,2228.0,14.0,71.0,3.0,25.0,4.0,113.0,2228.0,14.0,71.0,3.0,95,toyota corona,95,toyota corona,95,toyota corona
25.0,4,98.0,?,2046,19.0,71,1,ford pinto,25.0,4.0,98.0,2046.0,19.0,71.0,1.0,25.0,4.0,98.0,2046.0,19.0,71.0,1.0,25.0,4.0,98.0,2046.0,19.0,71.0,1.0,?,ford pinto,?,ford pinto,?,ford pinto
19.0,6,232.0,100,2634,13.0,71,1,amc gremlin,19.0,6.0,232.0,2634.0,13.0,71.0,1.0,19.0,6.0,232.0,2634.0,13.0,71.0,1.0,19.0,6.0,232.0,2634.0,13.0,71.0,1.0,100,amc gremlin,100,amc gremlin,100,amc gremlin
16.0,6,225.0,105,3439,15.5,71,1,plymouth satellite custom,16.0,6.0,225.0,3439.0,15.5,71.0,1.0,16.0,6.0,225.0,3439.0,15.5,71.0,1.0,16.0,6.0,225.0,3439.0,15.5,71.0,1.0,105,plymouth satellite custom,105,plymouth satellite custom,105,plymouth satellite custom
17.0,6,250.0,100,3329,15.5,71,1,chevrolet chevelle malibu,17.0,6.0,250.0,3329.0,15.5,71.0,1.0,17.0,6.0,250.0,3329.0,15.5,71.0,1.0,17.0,6.0,250.0,3329.0,15.5,71.0,1.0,100,chevrolet chevelle malibu,100,chevrolet chevelle malibu,100,chevrolet chevelle malibu
19.0,6,250.0,88,3302,15.5,71,1,ford torino 500,19.0,6.0,250.0,3302.0,15.5,71.0,1.0,19.0,6.0,250.0,3302.0,15.5,71.0,1.0,19.0,6.0,250.0,3302.0,15.5,71.0,1.0,88,ford torino 500,88,ford torino 500,88,ford torino 500
18.0,6,232.0,100,3288,15.5,71,1,amc matador,18.0,6.0,232.0,3288.0,15.5,71.0,1.0,18.0,6.0,232.0,3288.0,15.5,71.0,1.0,18.0,6.0,232.0,3288.0,15.5,71.0,1.0,100,amc matador,100,amc matador,100,amc matador
14.0,8,350.0,165,4209,12.0,71,1,chevrolet impala,14.0,8.0,350.0,4209.0,12.0,71.0,1.0,14.0,8.0,350.0,4209.0,12.0,71.0,1.0,14.0,8.0,350.0,4209.0,12.0,71.0,1.0,165,chevrolet impala,165,chevrolet impala,165,chevrolet impala
14.0,8,400.0,175,4464,11.5,71,1,pontiac catalina brougham,14.0,8.0,400.0,4464.0,11.5,71.0,1.0,14.0,8.0,400.0,4464.0,11.5,71.0,1.0,14.0,8.0,400.0,4464.0,11.5,71.0,1.0,175,pontiac catalina brougham,175,pontiac catalina brougham,175,pontiac catalina brougham
14.0,8,351.0,153,4154,13.5,71,1,ford galaxie 500,14.0,8.0,351.0,4154.0,13.5,71.0,1.0,14.0,8.0,351.0,4154.0,13.5,71.0,1.0,14.0,8.0,351.0,4154.0,13.5,71.0,1.0,153,ford galaxie 500,153,ford galaxie 500,153,ford galaxie 500
14.0,8,318.0,150,4096,13.0,71,1,plymouth fury iii,14.0,8.0,318.0,4096.0,13.0,71.0,1.0,14.0,8.0,318.0,4096.0,13.0,71.0,1.0,14.0,8.0,318.0,4096.0,13.0,71.0,1.0,150,plymouth fury iii,150,plymouth fury iii,150,plymouth fury iii
12.0,8,383.0,180,4955,11.5,71,1,dodge monaco (sw),12.0,8.0,383.0,4955.0,11.5,71.0,1.0,12.0,8.0,383.0,4955.0,11.5,71.0,1.0,12.0,8.0,383.0,4955.0,11.5,71.0,1.0,180,dodge monaco (sw),180,dodge monaco (sw),180,dodge monaco (sw)
13.0,8,400.0,170,4746,12.0,71,1,ford country squire (sw),13.0,8.0,400.0,4746.0,12.0,71.0,1.0,13.0,8.0,400.0,4746.0,12.0,71.0,1.0,13.0,8.0,400.0,4746.0,12.0,71.0,1.0,170,ford country squire (sw),170,ford country squire (sw),170,ford country squire (sw)
13.0,8,400.0,175,5140,12.0,71,1,pontiac safari (sw),13.0,8.0,400.0,5140.0,12.0,71.0,1.0,13.0,8.0,400.0,5140.0,12.0,71.0,1.0,13.0,8.0,400.0,5140.0,12.0,71.0,1.0,175,pontiac safari (sw),175,pontiac safari (sw),175,pontiac safari (sw)
18.0,6,258.0,110,2962,13.5,71,1,amc hornet sportabout (sw),18.0,6.0,258.0,2962.0,13.5,71.0,1.0,18.0,6.0,258.0,2962.0,13.5,71.0,1.0,18.0,6.0,258.0,2962.0,13.5,71.0,1.0,110,amc hornet sportabout (sw),110,amc hornet sportabout (sw),110,amc hornet sportabout (sw)
22.0,4,140.0,72,2408,19.0,71,1,chevrolet vega (sw),22.0,4.0,140.0,2408.0,19.0,71.0,1.0,22.0,4.0,140.0,2408.0,19.0,71.0,1.0,22.0,4.0,140.0,2408.0,19.0,71.0,1.0,72,chevrolet vega (sw),72,chevrolet vega (sw),72,chevrolet vega (sw)
19.0,6,250.0,100,3282,15.0,71,1,pontiac firebird,19.0,6.0,250.0,3282.0,15.0,71.0,1.0,19.0,6.0,250.0,3282.0,15.0,71.0,1.0,19.0,6.0,250.0,3282.0,15.0,71.0,1.0,100,pontiac firebird,100,pontiac firebird,100,pontiac firebird
18.0,6,250.0,88,3139,14.5,71,1,ford mustang,18.0,6.0,250.0,3139.0,14.5,71.0,1.0,18.0,6.0,250.0,3139.0,14.5,71.0,1.0,18.0,6.0,250.0,3139.0,14.5,71.0,1.0,88,ford mustang,88,ford mustang,88,ford mustang
23.0,4,122.0,86,2220,14.0,71,1,mercury capri 2000,23.0,4.0,122.0,2220.0,14.0,71.0,1.0,23.0,4.0,122.0,2220.0,14.0,71.0,1.0,23.0,4.0,122.0,2220.0,14.0,71.0,1.0,86,mercury capri 2000,86,mercury capri 2000,86,mercury capri 2000
28.0,4,116.0,90,2123,14.0,71,2,opel 1900,28.0,4.0,116.0,2123.0,14.0,71.0,2.0,28.0,4.0,116.0,2123.0,14.0,71.0,2.0,28.0,4.0,116.0,2123.0,14.0,71.0,2.0,90,opel 1900,90,opel 1900,90,opel 1900
30.0,4,79.0,70,2074,19.5,71,2,peugeot 304,30.0,4.0,79.0,2074.0,19.5,71.0,2.0,30.0,4.0,79.0,2074.0,19.5,71.0,2.0,30.0,4.0,79.0,2074.0,19.5,71.0,2.0,70,peugeot 304,70,peugeot 304,70,peugeot 304
30.0,4,88.0,76,2065,14.5,71,2,fiat 124b,30.0,4.0,88.0,2065.0,14.5,71.0,2.0,30.0,4.0,88.0,2065.0,14.5,71.0,2.0,30.0,4.0,88.0,2065.0,14.5,71.0,2.0,76,fiat 124b,76,fiat 124b,76,fiat 124b
31.0,4,71.0,65,1773,19.0,71,3,toyota corolla 1200,31.0,4.0,71.0,1773.0,19.0,71.0,3.0,31.0,4.0,71.0,1773.0,19.0,71.0,3.0,31.0,4.0,71.0,1773.0,19.0,71.0,3.0,65,toyota corolla 1200,65,toyota corolla 1200,65,toyota corolla 1200
35.0,4,72.0,69,1613,18.0,71,3,datsun 1200,35.0,4.0,72.0,1613.0,18.0,71.0,3.0,35.0,4.0,72.0,1613.0,18.0,71.0,3.0,35.0,4.0,72.0,1613.0,18.0,71.0,3.0,69,datsun 1200,69,datsun 1200,69,datsun 1200
27.0,4,97.0,60,1834,19.0,71,2,volkswagen model 111,27.0,4.0,97.0,1834.0,19.0,71.0,2.0,27.0,4.0,97.0,1834.0,19.0,71.0,2.0,27.0,4.0,97.0,1834.0,19.0,71.0,2.0,60,volkswagen model 111,60,volkswagen model 111,60,volkswagen model 111
26.0,4,91.0,70,1955,20.5,71,1,plymouth cricket,26.0,4.0,91.0,1955.0,20.5,71.0,1.0,26.0,4.0,91.0,1955.0,20.5,71.0,1.0,26.0,4.0,91.0,1955.0,20.5,71.0,1.0,70,plymouth cricket,70,plymouth cricket,70,plymouth cricket
24.0,4,113.0,95,2278,15.5,72,3,toyota corona hardtop,24.0,4.0,113.0,2278.0,15.5,72.0,3.0,24.0,4.0,113.0,2278.0,15.5,72.0,3.0,24.0,4.0,113.0,2278.0,15.5,72.0,3.0,95,toyota corona hardtop,95,toyota corona hardtop,95,toyota corona hardtop
25.0,4,97.5,80,2126,17.0,72,1,dodge colt hardtop,25.0,4.0,97.5,2126.0,17.0,72.0,1.0,25.0,4.0,97.5,2126.0,17.0,72.0,1.0,25.0,4.0,97.5,2126.0,17.0,72.0,1.0,80,dodge colt hardtop,80,dodge colt hardtop,80,dodge colt hardtop
23.0,4,97.0,54,2254,23.5,72,2,volkswagen type 3,23.0,4.0,97.0,2254.0,23.5,72.0,2.0,23.0,4.0,97.0,2254.0,23.5,72.0,2.0,23.0,4.0,97.0,2254.0,23.5,72.0,2.0,54,volkswagen type 3,54,volkswagen type 3,54,volkswagen type 3
20.0,4,140.0,90,2408,19.5,72,1,chevrolet vega,20.0,4.0,140.0,2408.0,19.5,72.0,1.0,20.0,4.0,140.0,2408.0,19.5,72.0,1.0,20.0,4.0,140.0,2408.0,19.5,72.0,1.0,90,chevrolet vega,90,chevrolet vega,90,chevrolet vega
21.0,4,122.0,86,2226,16.5,72,1,ford pinto runabout,21.0,4.0,122.0,2226.0,16.5,72.0,1.0,21.0,4.0,122.0,2226.0,16.5,72.0,1.0,21.0,4.0,122.0,2226.0,16.5,72.0,1.0,86,ford pinto runabout,86,ford pinto runabout,86,ford pinto runabout
13.0,8,350.0,165,4274,12.0,72,1,chevrolet impala,13.0,8.0,350.0,4274.0,12.0,72.0,1.0,13.0,8.0,350.0,4274.0,12.0,72.0,1.0,13.0,8.0,350.0,4274.0,12.0,72.0,1.0,165,chevrolet impala,165,chevrolet impala,165,chevrolet impala
14.0,8,400.0,175,4385,12.0,72,1,pontiac catalina,14.0,8.0,400.0,4385.0,12.0,72.0,1.0,14.0,8.0,400.0,4385.0,12.0,72.0,1.0,14.0,8.0,400.0,4385.0,12.0,72.0,1.0,175,pontiac catalina,175,pontiac catalina,175,pontiac catalina
15.0,8,318.0,150,4135,13.5,72,1,plymouth fury iii,15.0,8.0,318.0,4135.0,13.5,72.0,1.0,15.0,8.0,318.0,4135.0,13.5,72.0,1.0,15.0,8.0,318.0,4135.0,13.5,72.0,1.0,150,plymouth fury iii,150,plymouth fury iii,150,plymouth fury iii
14.0,8,351.0,153,4129,13.0,72,1,ford galaxie 500,14.0,8.0,351.0,4129.0,13.0,72.0,1.0,14.0,8.0,351.0,4129.0,13.0,72.0,1.0,14.0,8.0,351.0,4129.0,13.0,72.0,1.0,153,ford galaxie 500,153,ford galaxie 500,153,ford galaxie 500
17.0,8,304.0,150,3672,11.5,72,1,amc ambassador sst,17.0,8.0,304.0,3672.0,11.5,72.0,1.0,17.0,8.0,304.0,3672.0,11.5,72.0,1.0,17.0,8.0,304.0,3672.0,11.5,72.0,1.0,150,amc ambassador sst,150,amc ambassador sst,150,amc ambassador sst
11.0,8,429.0,208,4633,11.0,72,1,mercury marquis,11.0,8.0,429.0,4633.0,11.0,72.0,1.0,11.0,8.0,429.0,4633.0,11.0,72.0,1.0,11.0,8.0,429.0,4633.0,11.0,72.0,1.0,208,mercury marquis,208,mercury marquis,208,mercury marquis
13.0,8,350.0,155,4502,13.5,72,1,buick lesabre custom,13.0,8.0,350.0,4502.0,13.5,72.0,1.0,13.0,8.0,350.0,4502.0,13.5,72.0,1.0,13.0,8.0,350.0,4502.0,13.5,72.0,1.0,155,buick lesabre custom,155,buick lesabre custom,155,buick lesabre custom
12.0,8,350.0,160,4456,13.5,72,1,oldsmobile delta 88 royale,12.0,8.0,350.0,4456.0,13.5,72.0,1.0,12.0,8.0,350.0,4456.0,13.5,72.0,1.0,12.0,8.0,350.0,4456.0,13.5,72.0,1.0,160,oldsmobile delta 88 royale,160,oldsmobile delta 88 royale,160,oldsmobile delta 88 royale
13.0,8,400.0,190,4422,12.5,72,1,chrysler newport royal,13.0,8.0,400.0,4422.0,12.5,72.0,1.0,13.0,8.0,400.0,4422.0,12.5,72.0,1.0,13.0,8.0,400.0,4422.0,12.5,72.0,1.0,190,chrysler newport royal,190,chrysler newport royal,190,chrysler newport royal
19.0,3,70.0,97,2330,13.5,72,3,mazda rx2 coupe,19.0,3.0,70.0,2330.0,13.5,72.0,3.0,19.0,3.0,70.0,2330.0,13.5,72.0,3.0,19.0,3.0,70.0,2330.0,13.5,72.0,3.0,97,mazda rx2 coupe,97,mazda rx2 coupe,97,mazda rx2 coupe
15.0,8,304.0,150,3892,12.5,72,1,amc matador (sw),15.0,8.0,304.0,3892.0,12.5,72.0,1.0,15.0,8.0,304.0,3892.0,12.5,72.0,1.0,15.0,8.0,304.0,3892.0,12.5,72.0,1.0,150,amc matador (sw),150,amc matador (sw),150,amc matador (sw)
13.0,8,307.0,130,4098,14.0,72,1,chevrolet chevelle concours (sw),13.0,8.0,307.0,4098.0,14.0,72.0,1.0,13.0,8.0,307.0,4098.0,14.0,72.0,1.0,13.0,8.0,307.0,4098.0,14.0,72.0,1.0,130,chevrolet chevelle concours (sw),130,chevrolet chevelle concours (sw),130,chevrolet chevelle concours (sw)
13.0,8,302.0,140,4294,16.0,72,1,ford gran torino (sw),13.0,8.0,302.0,4294.0,16.0,72.0,1.0,13.0,8.0,302.0,4294.0,16.0,72.0,1.0,13.0,8.0,302.0,4294.0,16.0,72.0,1.0,140,ford gran torino (sw),140,ford gran torino (sw),140,ford gran torino (sw)
